,Value
122122,50.0
50525,8.6
89890,32.8
45158,28.3
17498,22.7
11729,14.0
80996,41.9
19923,28.0
23639,16.9
131877,34.7
117163,71.8
76794,20.0
36403,41.0
33866,28.1
73094,87.5
127330,9.2
73792,30.0
61817,54.0
61132,19.2
19033,32.0
35406,18.0
56159,24.8
5164,13.0
32294,16.3
107513,85.0
95793,15.0
128032,37.0
59170,13.8
8390,18.0
47673,17.5
10719,19.2
53293,15.0
78365,39.0
115535,73.0
30610,11.3
67653,65.5
24018,24.0
119020,40.0
19009,21.0
106119,29.0
109334,50.0
54844,19.0
138808,18.6
2570,13.4
136764,22.1
81859,29.6
135266,36.9
18151,21.1
63414,26.1
102831,40.0
87681,37.7
9648,10.0
37390,27.9
30226,18.1
134740,38.2
42010,21.2
94296,17.0
132517,46.0
15244,7.5
65222,40.0
104603,34.0
138097,39.2
10861,16.2
120542,99.0
138269,36.0
12381,10.4
82074,11.5
60200,24.6
24473,39.3
15011,15.4
128261,60.0
36588,29.0
102846,36.0
9851,13.1
250,15.2
136967,32.0
34013,19.3
42039,33.4
36399,21.0
792,13.4
70605,42.0
24900,21.8
69566,31.4
100563,35.6
127667,32.0
21706,23.9
13697,8.7
56241,13.0
57298,14.0
51979,23.8
16647,51.4
70155,25.0
2052,6.5
25167,20.9
110970,37.5
91803,30.0
123752,56.4
5964,11.7
68304,33.0
80391,56.0
131050,23.8
17984,22.3
40430,20.2
8759,29.2
42139,27.2
43106,29.0
124400,37.0
138986,66.4
21672,28.0
48528,8.0
111438,29.7
23684,23.3
26698,19.4
133991,25.3
50785,8.2
65466,35.2
99078,58.0
123251,40.0
132577,33.7
62508,43.0
119510,29.0
130440,35.2
103235,37.0
98448,23.0
19203,24.7
51314,20.0
63657,18.8
125925,40.0
23069,26.8
81940,41.0
54565,11.5
123520,48.0
134019,44.3
28477,16.8
30929,32.0
102910,49.0
64432,46.8
126148,27.0
17424,30.0
94021,33.0
111719,50.0
139675,47.3
6619,15.5
52138,11.0
118875,69.0
85258,34.6
25491,24.0
15282,13.5
117414,48.0
23237,35.4
111844,15.6
18762,61.3
66755,29.9
47150,13.0
137324,30.0
46758,14.6
128744,57.2
94750,28.2
92513,35.0
17601,32.8
55578,28.3
131059,21.5
9365,14.0
14179,10.1
47171,25.0
33534,21.1
122905,37.4
61306,20.7
133094,29.2
84027,35.6
41159,30.1
31893,20.5
128237,44.0
39025,20.0
44350,12.0
1387,8.0
118651,56.0
117622,53.1
32559,23.4
113094,72.0
76510,23.1
12883,10.7
33608,19.7
36578,28.0
64465,23.4
104224,33.0
86678,29.4
52420,16.0
117843,55.0
11255,14.5
62461,52.0
52807,20.0
90109,30.0
108296,63.0
69513,27.5
4725,28.7
79142,20.8
82746,56.0
137570,49.1
60942,16.0
127575,33.3
4752,17.7
125018,52.5
13436,11.0
33110,28.0
2166,19.0
42456,16.9
45376,9.2
37867,20.0
82832,45.0
57404,10.0
30649,26.0
122451,50.3
111668,51.5
25760,24.0
4173,14.8
50744,7.1
62276,40.0
103353,17.5
61764,48.0
39068,13.0
26845,20.0
47626,20.2
34749,30.8
5310,19.0
95288,33.9
27051,15.9
87502,34.0
85356,40.0
127670,32.5
11633,18.5
64966,44.5
18955,33.9
12376,3.5
31371,24.0
23185,21.1
57250,24.0
38321,20.0
68846,36.3
137618,24.0
132326,30.9
134787,30.0
77281,18.3
74531,38.9
56579,12.4
46305,20.7
69155,31.1
45987,19.5
18208,19.3
126921,19.6
112736,51.2
75095,24.9
81116,36.2
21052,29.0
38468,27.2
90029,28.7
88391,34.0
27922,29.0
106628,35.1
86229,45.4
75408,39.0
36402,29.0
115691,36.0
71851,15.4
136465,24.2
124761,23.7
108843,70.0
85395,38.5
19983,30.0
120423,47.5
14996,13.9
59107,20.2
56238,17.0
135336,57.3
52524,29.0
1702,10.6
130150,54.5
25315,20.2
130396,32.9
36003,22.0
3513,8.6
123164,22.9
112747,57.8
14104,14.9
113159,25.0
28481,25.7
79682,38.3
88951,40.0
69931,32.7
127871,47.0
136767,32.0
79969,27.9
43127,29.0
7875,14.4
85996,34.0
10718,21.5
61550,22.0
74151,44.0
85436,37.9
22957,24.2
101451,49.0
80535,48.4
33183,27.0
5345,4.0
57477,7.0
31280,36.0
75858,44.7
97392,39.0
74371,60.0
132191,23.0
21972,24.0
99330,31.0
12586,20.0
79120,33.4
79874,37.3
7735,10.0
28274,38.8
85636,43.3
107720,68.0
67406,50.4
8559,22.3
137992,64.7
51293,30.0
120828,55.0
114732,69.3
80728,17.9
65547,56.0
14803,10.6
25803,23.0
4520,18.3
3077,19.1
47162,26.0
82874,50.3
126294,40.0
116258,43.0
106801,43.0
41226,15.0
52571,17.0
5229,20.4
12548,14.0
3873,7.5
50034,18.0
127322,10.1
27491,13.0
55074,16.0
117651,40.9
25088,25.0
93702,18.2
129090,32.5
85089,38.1
65482,24.4
89241,59.1
14410,12.3
121451,81.1
107001,15.1
123433,28.0
88855,26.0
109961,28.0
5295,17.6
42494,29.5
1847,10.2
14989,14.7
90083,34.1
49805,21.5
105196,37.0
24350,31.0
69437,33.7
85727,33.0
74145,38.4
83924,42.2
67588,26.9
105965,38.0
98150,25.0
94512,40.0
115720,37.0
90859,48.6
45912,20.5
73390,28.0
111445,71.3
77667,46.0
11540,11.5
29646,37.7
3817,8.5
21064,42.0
122162,37.0
37797,30.0
95667,31.9
51973,24.9
28076,43.6
49190,23.7
116711,29.7
61407,16.5
8439,18.9
127636,34.5
102563,33.5
67221,52.2
32964,28.0
117996,68.9
53733,24.0
92228,33.5
97205,31.9
76411,39.9
114209,52.0
84207,14.8
78387,32.0
107796,15.0
7905,15.6
132346,52.2
122161,39.0
27950,20.0
48034,14.9
116142,48.0
135423,35.6
126246,49.0
89097,12.0
85530,39.0
6856,19.0
97337,33.0
106651,35.0
67904,29.0
100174,41.8
62126,63.0
66239,50.0
124161,61.0
38036,19.5
10273,12.0
139398,17.0
38415,15.0
72508,25.0
62016,19.7
84421,25.5
43020,17.1
2338,8.0
73334,56.0
23763,28.0
60079,15.8
98326,35.6
122269,92.7
117822,38.4
4296,16.0
124129,59.0
125275,36.8
1319,11.0
115082,31.7
114996,46.0
119547,20.6
15025,20.6
3756,17.6
90971,34.6
5017,16.0
13884,16.2
136106,31.0
104093,47.0
2861,16.7
111870,31.1
58384,14.0
5057,10.0
43043,28.0
113077,59.3
92339,32.9
86650,32.2
8435,21.9
30494,18.0
107212,15.8
129198,18.5
7540,10.1
65340,5.5
34751,31.3
126983,10.0
17728,33.0
41744,15.0
96683,26.7
70418,48.0
16009,20.2
26040,44.0
11189,9.0
53067,19.0
48578,21.0
16613,26.0
127855,43.0
117287,73.4
135765,16.5
131247,53.3
4828,8.2
65972,51.0
69687,22.3
99301,45.7
41650,31.9
28679,24.0
4830,7.5
137598,22.0
10066,18.0
26854,27.3
61855,18.0
29546,38.0
109226,73.7
109312,45.0
70050,42.0
95641,20.5
11497,8.7
21284,26.0
13537,15.9
127624,44.5
116631,43.0
25344,24.3
121878,21.7
3880,2.4
77194,29.0
127998,30.0
121552,34.0
22292,16.0
85234,55.0
67303,31.2
121507,35.0
43228,23.0
79304,31.7
9294,10.0
62271,61.9
15410,3.9
48007,16.0
86364,32.9
44638,8.0
9801,14.4
81653,40.0
50455,17.0
110183,23.0
87661,40.6
29500,44.6
124107,58.0
87822,31.0
66863,41.0
7524,15.4
71389,32.0
72735,29.0
92855,28.3
17412,31.0
15601,12.5
110772,67.1
7405,14.0
43999,13.1
26722,24.5
128017,23.0
782,18.9
27957,15.0
129446,85.8
11531,15.8
58587,10.0
102455,32.0
95159,21.2
3519,13.4
9598,13.5
87897,49.0
92357,30.2
21032,22.0
101676,70.1
133330,37.0
21904,23.7
77596,29.2
124806,39.0
54501,27.6
80670,38.2
60322,9.9
134493,37.0
112499,16.0
122347,41.0
84842,30.0
68068,17.2
61402,14.4
22483,30.2
88328,30.6
19401,27.6
35758,5.6
37546,17.0
79583,17.8
25713,33.0
86663,31.4
43090,30.0
129153,13.3
89962,41.7
31192,42.0
47216,17.0
137938,42.0
36983,34.1
138164,44.1
127339,21.3
17439,29.0
77116,40.4
73127,30.0
64276,58.0
79564,25.1
62323,20.6
131299,37.8
90427,29.8
138059,34.9
